Country,geonum,gender,age_collapsed,count,pweight,state
US,01,Female,18-24,227430,8.960456374879712e-4,AK
US,01,Female,25-34,324711,0.001279320560147547,AK
US,01,Female,35-44,307026,0.0012096438811739078,AK
US,01,Female,45-54,323272,0.001273651080868889,AK
US,01,Female,55-64,342398,0.0013490051188700099,AK
US,01,Female,65+,468693,0.0018465915577151198,AK
US,01,Male,18-24,233872,9.214263084491351e-4,AK
US,01,Male,25-34,311265,0.0012263450088057571,AK
US,01,Male,35-44,286454,0.0011285927847732458,AK
US,01,Male,45-54,302901,0.0011933918992250098,AK
US,01,Male,55-64,309774,0.0012204706560576828,AK
US,01,Male,65+,360970,0.0014221764664469638,AK
US,02,Female,18-24,30483,1.2009919169654762e-4,AL
US,02,Female,25-34,55117,2.171540579581608e-4,AL
US,02,Female,35-44,47784,1.882629588960349e-4,AL
US,02,Female,45-54,41924,1.6517529484257005e-4,AL
US,02,Female,55-64,45221,1.7816506077845292e-4,AL
US,02,Female,65+,43683,1.7210553393302136e-4,AL
US,02,Male,18-24,38142,1.5027468981693796e-4,AL
US,02,Male,25-34,62571,2.4652188182412103e-4,AL
US,02,Male,35-44,49236,1.93983656542047e-4,AL
US,02,Male,45-54,47409,1.8678550599158963e-4,AL
US,02,Male,55-64,48091,1.894725003404741e-4,AL
US,02,Male,65+,44317,1.7460341431013683e-4,AL
US,04,Female,18-24,332839,0.001311343859367097,AR
US,04,Female,25-34,471682,0.0018583678423321516,AR
US,04,Female,35-44,435640,0.0017163668887801072,AR
US,04,Female,45-54,430012,0.0016941932755901925,AR
US,04,Female,55-64,453433,0.0017864690741902266,AR
US,04,Female,65+,679703,0.002677944457360447,AR
US,04,Male,18-24,356504,0.0014045809873236236,AR
US,04,Male,25-34,507646,0.0020000614856800713,AR
US,04,Male,35-44,446978,0.0017610371848617086,AR
US,04,Male,45-54,422450,0.001664399945287752,AR
US,04,Male,55-64,413360,0.0016285864868839986,AR
US,04,Male,65+,579400,0.0022827632342282485,AR
US,05,Female,18-24,139138,5.481862459165516e-4,AZ
US,05,Female,25-34,197518,7.781961140805923e-4,AZ
US,05,Female,35-44,185017,7.289437440580046e-4,AZ
US,05,Female,45-54,189111,7.450735899001351e-4,AZ
US,05,Female,55-64,198544,7.822384252271546e-4,AZ
US,05,Female,65+,281554,0.001109287400155161,AZ
US,05,Male,18-24,148788,5.862060339909434e-4,AZ
US,05,Male,25-34,195419,7.699263176901105e-4,AZ
US,05,Male,35-44,182036,7.171989784362675e-4,AZ
US,05,Male,45-54,181232,7.140313194091369e-4,AZ
US,05,Male,55-64,185386,7.303975577159787e-4,AZ
US,05,Male,65+,226122,8.908922817572661e-4,AZ
US,06,Female,18-24,1823316,0.007183636053124116,CA
US,06,Female,25-34,2920141,0.011504988804905957,CA
US,06,Female,35-44,2608034,0.01027532642184542,CA
US,06,Female,45-54,2545769,0.010030010141591324,CA
US,06,Female,55-64,2454240,0.009669397376548733,CA
US,06,Female,65+,3145820,0.012394135722298772,CA
US,06,Male,18-24,1932547,0.007613992475005348,CA
US,06,Male,25-34,3114257,0.012269781466237422,CA
US,06,Male,35-44,2656423,0.010465973004760626,CA
US,06,Male,45-54,2522257,0.009937375814419811,CA
US,06,Male,55-64,2327186,0.009168820573025026,CA
US,06,Male,65+,2521517,0.00993446030735504,CA
US,08,Female,18-24,253935,0.0010004720087741633,CO
US,08,Female,25-34,424660,0.0016731070677379494,CO
US,08,Female,35-44,378082,0.0014895955973826106,CO
US,08,Female,45-54,353255,0.0013917803353595097,CO
US,08,Female,55-64,364937,0.0014378059482387888,CO
US,08,Female,65+,438527,0.0017277413062071298,CO
US,08,Male,18-24,274604,0.001081905272992775,CO
US,08,Male,25-34,464996,0.0018320258420144954,CO
US,08,Male,35-44,403306,0.0015889749895472178,CO
US,08,Male,45-54,356963,0.0014063893896786644,CO
US,08,Male,55-64,346233,0.0013641145372394704,CO
US,08,Male,65+,369328,0.0014551059367812402,CO
US,09,Female,18-24,168173,6.625804994647346e-4,CT
US,09,Female,25-34,218743,8.618199484721949e-4,CT
US,09,Female,35-44,215845,8.504021924266418e-4,CT
US,09,Female,45-54,256296,0.0010097740522605509,CT
US,09,Female,55-64,266129,0.0010485148373523118,CT
US,09,Female,65+,345275,0.0013603401375529142,CT
US,09,Male,18-24,176030,6.93536092718672e-4,CT
US,09,Male,25-34,229148,9.028143417275365e-4,CT
US,09,Male,35-44,208728,8.223621062374764e-4,CT
US,09,Male,45-54,238346,9.390533065677702e-4,CT
US,09,Male,55-64,247014,9.732041379697213e-4,CT
US,09,Male,65+,267872,0.0010553820384521736,CT
US,10,Female,18-24,41729,1.644070193322585e-4,DC
US,10,Female,25-34,63602,2.505838923427426e-4,DC
US,10,Female,35-44,57561,2.2678311102073215e-4,DC
US,10,Female,45-54,63925,2.518564717777714e-4,DC
US,10,Female,55-64,72246,2.8464016675880914e-4,DC
US,10,Female,65+,99777,3.9310884919156356e-4,DC
US,10,Male,18-24,42592,1.6780713094968855e-4,DC
US,10,Male,25-34,63797,2.5135216785305414e-4,DC
US,10,Male,35-44,54832,2.160311937507824e-4,DC
US,10,Male,45-54,58962,2.323028750717397e-4,DC
US,10,Male,55-64,64019,2.522268199724857e-4,DC
US,10,Male,65+,80979,3.190470899975308e-4,DC
US,11,Female,18-24,40817,1.608138538686476e-4,DE
US,11,Female,25-34,86963,3.426232984780655e-4,DE
US,11,Female,35-44,53572,2.1106695199184626e-4,DE
US,11,Female,45-54,37485,1.4768619232834982e-4,DE
US,11,Female,55-64,36856,1.4520801132329362e-4,DE
US,11,Female,65+,50396,1.9855391085979774e-4,DE
US,11,Male,18-24,34248,1.349328188571782e-4,DE
US,11,Male,25-34,76504,3.014161520044838e-4,DE
US,11,Male,35-44,51963,2.0472769406317304e-4,DE
US,11,Male,45-54,38041,1.498767625013407e-4,DE
US,11,Male,55-64,33166,1.306698747435521e-4,DE
US,11,Male,65+,35230,1.388017755296189e-4,DE
US,12,Female,18-24,857737,0.003379376058400475,FL
US,12,Female,25-34,1362815,0.005369319946590905,FL
US,12,Female,35-44,1303609,0.005136055742162673,FL
US,12,Female,45-54,1399115,0.005512337387741208,FL
US,12,Female,55-64,1507961,0.005941176957973876,FL
US,12,Female,65+,2393229,0.009429021698807105,FL
US,12,Male,18-24,911588,0.0035915422353532283,FL
US,12,Male,25-34,1395700,0.005498882716624726,FL
US,12,Male,35-44,1283095,0.0050552331584778985,FL
US,12,Male,45-54,1342853,0.005290672173581474,FL
US,12,Male,55-64,1348193,0.005311711102940775,FL
US,12,Male,65+,1965555,0.007744039849591827,FL
US,13,Female,18-24,514449,0.0020268644513039146,GA
US,13,Female,25-34,729517,0.0028742053613125458,GA
US,13,Female,35-44,726318,0.0028616017030690245,GA
US,13,Female,45-54,714682,0.0028157573244126906,GA
US,13,Female,55-64,672937,0.0026512872670898424,GA
US,13,Female,65+,822753,0.003241543491976172,GA
US,13,Male,18-24,523561,0.002062764586944729,GA
US,13,Male,25-34,712726,0.002808050930063104,GA
US,13,Male,35-44,674726,0.0026583357024126493,GA
US,13,Male,45-54,681648,0.0026856075130915033,GA
US,13,Male,55-64,609190,0.002400132092957381,GA
US,13,Male,65+,633675,0.0024965999179316282,GA
US,15,Female,18-24,54951,2.1650003880579303e-4,HI
US,15,Female,25-34,96996,3.821520584521974e-4,HI
US,15,Female,35-44,89020,3.5072762014324937e-4,HI
US,15,Female,45-54,85344,3.362446418052738e-4,HI
US,15,Female,55-64,91870,3.6195626221703343e-4,HI
US,15,Female,65+,142768,5.62487990031582e-4,HI
US,15,Male,18-24,66696,2.627738637730191e-4,HI
US,15,Male,25-34,104029,4.0986119519076706e-4,HI
US,15,Male,35-44,92521,3.6452112045915044e-4,HI
US,15,Male,45-54,86046,3.390104336423953e-4,HI
US,15,Male,55-64,88296,3.47875151069067e-4,HI
US,15,Male,65+,118699,4.676591528126663e-4,HI
US,16,Female,18-24,79397,3.1281420867797764e-4,IA
US,16,Female,25-34,112027,4.413723107367759e-4,IA
US,16,Female,35-44,109897,4.329803782395268e-4,IA
US,16,Female,45-54,98610,3.8851101575292985e-4,IA
US,16,Female,55-64,109678,4.321175457433307e-4,IA
US,16,Female,65+,146975,5.790630416822519e-4,IA
US,16,Male,18-24,85694,3.376235978494227e-4,IA
US,16,Male,25-34,116053,4.5723424511890043e-4,IA
US,16,Male,35-44,109816,4.326612484121666e-4,IA
US,16,Male,45-54,102525,4.0393562407533857e-4,IA
US,16,Male,55-64,105700,4.1644472533297524e-4,IA
US,16,Male,65+,132466,5.218994038406613e-4,IA
US,17,Female,18-24,577711,0.002276108786346627,ID
US,17,Female,25-34,873138,0.003440054064217439,ID
US,17,Female,35-44,823822,0.003245755217722444,ID
US,17,Female,45-54,828544,0.003264359304695219,ID
US,17,Female,55-64,859310,0.003385573480850321,ID
US,17,Female,65+,1120812,0.004415858519298984,ID
US,17,Male,18-24,601191,0.0023686170375369605,ID
US,17,Male,25-34,892379,0.0035158611877759236,ID
US,17,Male,35-44,820568,0.0032329348663862707,ID
US,17,Male,45-54,807510,0.00318148798631628,ID
US,17,Male,55-64,810557,0.0031934927836492,ID
US,17,Male,65+,869736,0.0034266506114683116,ID
US,18,Female,18-24,318542,0.0012550154749008194,IL
US,18,Female,25-34,434272,0.0017109771405846908,IL
US,18,Female,35-44,415188,0.0016357885773088678,IL
US,18,Female,45-54,426005,0.0016784061988218933,IL
US,18,Female,55-64,448289,0.0017662023602156493,IL
US,18,Female,65+,588609,0.0023190455376870126,IL
US,18,Male,18-24,338386,0.0013331983427296514,IL
US,18,Male,25-34,439974,0.0017334423044810827,IL
US,18,Male,35-44,411285,0.0016204112474794013,IL
US,18,Male,45-54,415745,0.0016379830873562704,IL
US,18,Male,55-64,425989,0.0016783431608313037,IL
US,18,Male,65+,462537,0.001822337690835746,IL
US,19,Female,18-24,155851,6.140333669618687e-4,IN
US,19,Female,25-34,193526,7.624681354284708e-4,IN
US,19,Female,35-44,190301,7.497620404502414e-4,IN
US,19,Female,45-54,183920,7.246217018282006e-4,IN
US,19,Female,55-64,212741,8.381728222522467e-4,IN
US,19,Female,65+,298303,0.0011752763566793049,IN
US,19,Male,18-24,162113,6.387048605288989e-4,IN
US,19,Male,25-34,200981,7.918398991688429e-4,IN
US,19,Male,35-44,193316,7.616407618019815e-4,IN
US,19,Male,45-54,185476,7.307521464130455e-4,IN
US,19,Male,55-64,206713,8.144232592975904e-4,IN
US,19,Male,65+,239515,9.436590197552276e-4,IN
US,20,Female,18-24,140088,5.51929126607813e-4,KS
US,20,Female,25-34,184219,7.25799724277345e-4,KS
US,20,Female,35-44,176071,6.93697627569558e-4,KS
US,20,Female,45-54,169559,6.680411653995643e-4,KS
US,20,Female,55-64,190562,7.507903476717354e-4,KS
US,20,Female,65+,255071,0.0010049477061060295,KS
US,20,Male,18-24,154845,6.100698533035435e-4,KS
US,20,Male,25-34,192203,7.572556815815879e-4,KS
US,20,Male,35-44,183376,7.22478410148152e-4,KS
US,20,Male,45-54,170124,6.702671944422619e-4,KS
US,20,Male,55-64,183121,7.214737421731292e-4,KS
US,20,Male,65+,207120,8.160267881832151e-4,KS
US,21,Female,18-24,204051,8.039353136132349e-4,KY
US,21,Female,25-34,289569,0.0011408654935661712,KY
US,21,Female,35-44,275356,0.0010848680585504894,KY
US,21,Female,45-54,292045,0.001150620622609922,KY
US,21,Female,55-64,310554,0.001223543758098929,KY
US,21,Female,65+,408000,0.0016074687600364608,KY
US,21,Male,18-24,217156,8.555673677805825e-4,KY
US,21,Male,25-34,289951,0.0011423705255914996,KY
US,21,Male,35-44,277751,0.00109430405776688,KY
US,21,Male,45-54,283328,0.0011162767373617901,KY
US,21,Male,55-64,289468,0.001140467566250574,KY
US,21,Male,65+,323392,0.0012741238657983116,KY
US,22,Female,18-24,214801,8.462889635406661e-4,LA
US,22,Female,25-34,325158,0.001281081684009646,LA
US,22,Female,35-44,298788,0.001177187195769054,LA
US,22,Female,45-54,291040,0.0011466610488260085,LA
US,22,Female,55-64,314500,0.001239090502528105,LA
US,22,Female,65+,405111,0.0015960864628606142,LA
US,22,Male,18-24,221859,8.740965971395321e-4,LA
US,22,Male,25-34,320097,0.0012611419796112523,LA
US,22,Male,35-44,290926,0.0011462119031430574,LA
US,22,Male,45-54,276273,0.0010884809233861596,LA
US,22,Male,55-64,288341,0.0011360273277884144,LA
US,22,Male,65+,315499,0.0012430264370655473,LA
US,23,Female,18-24,51942,2.0464495670052411e-4,MA
US,23,Female,25-34,79204,3.120538129164898e-4,MA
US,23,Female,35-44,77248,3.043474185669032e-4,MA
US,23,Female,45-54,91827,3.617868476173237e-4,MA
US,23,Female,55-64,111097,4.3770822753375164e-4,MA
US,23,Female,65+,151196,5.956932515746881e-4,MA
US,23,Male,18-24,54528,2.1483347192957874e-4,MA
US,23,Male,25-34,80740,3.1810546001309766e-4,MA
US,23,Male,35-44,76188,3.001711516903379e-4,MA
US,23,Male,45-54,88639,3.4922652799233297e-4,MA
US,23,Male,55-64,102370,4.0332494354150116e-4,MA
US,23,Male,65+,124873,4.919839374314533e-4,MA
US,24,Female,18-24,265312,0.0010452959599578271,MD
US,24,Female,25-34,414511,0.0016331212823320425,MD
US,24,Female,35-44,396581,0.001562479334127499,MD
US,24,Female,45-54,425771,0.0016774842682095194,MD
US,24,Female,55-64,426625,0.0016808489209572427,MD
US,24,Female,65+,529562,0.0020864077732902653,MD
US,24,Male,18-24,271712,0.001070511156193693,MD
US,24,Male,25-34,412015,0.0016232873558000547,MD
US,24,Male,35-44,378498,0.001491234585137942,MD
US,24,Male,45-54,396969,0.0015640080053992984,MD
US,24,Male,55-64,385328,0.0015181439273709051,MD
US,24,Male,65+,401479,0.0015817768389967603,MD
US,25,Female,18-24,353265,0.0013918197341036282,ME
US,25,Female,25-34,492898,0.0019419562178540476,ME
US,25,Female,35-44,429880,0.0016936732121678277,ME
US,25,Female,45-54,473000,0.0018635605968069754,ME
US,25,Female,55-64,488465,0.0019244907545862984,ME
US,25,Female,65+,644751,0.002540237966917324,ME
US,25,Male,18-24,349030,0.001375134365969426,ME
US,25,Male,25-34,497434,0.0019598274881862175,ME
US,25,Male,35-44,412260,0.0016242526250309591,ME
US,25,Male,45-54,448551,0.0017672346073115551,ME
US,25,Male,55-64,452699,0.0017835772063719258,ME
US,25,Male,65+,492790,0.0019415307114175673,ME
US,26,Female,18-24,470671,0.001854384629301767,MI
US,26,Female,25-34,632300,0.0024911825906153286,MI
US,26,Female,35-44,586283,0.00230988138980504,MI
US,26,Female,45-54,652733,0.002571686044472743,MI
US,26,Female,55-64,720950,0.002840452457226192,MI
US,26,Female,65+,951250,0.0037478055342761844,MI
US,26,Male,18-24,491133,0.001935002339517125,MI
US,26,Male,25-34,659053,0.0025965860507556606,MI
US,26,Male,35-44,579279,0.002282286509424414,MI
US,26,Male,45-54,638026,0.0025137423114976053,MI
US,26,Male,55-64,680769,0.002682144363483484,MI
US,26,Male,65+,769203,0.0030305632172213863,MI
US,27,Female,18-24,245509,9.672746269798809e-4,MN
US,27,Female,25-34,372295,0.0014667955441612112,MN
US,27,Female,35-44,353252,0.001391768515736274,MN
US,27,Female,45-54,342419,0.001349087856232659,MN
US,27,Female,55-64,383070,0.0015092476909489387,MN
US,27,Female,65+,485580,0.0019131242169080995,MN
US,27,Male,18-24,254394,0.0010022804111292044,MN
US,27,Male,25-34,387246,0.0015257006064928413,MN
US,27,Male,35-44,361715,0.001425111672883795,MN
US,27,Male,45-54,347261,0.0013681647281348563,MN
US,27,Male,55-64,373337,0.001470900893298363,MN
US,27,Male,65+,403054,0.0015879821411954305,MN
US,28,Female,18-24,147293,5.803159217452216e-4,MO
US,28,Female,25-34,196518,7.742562396687382e-4,MO
US,28,Female,35-44,195862,7.71671682054562e-4,MO
US,28,Female,45-54,185182,7.295938233359605e-4,MO
US,28,Female,55-64,201419,7.93565564161235e-4,MO
US,28,Female,65+,268754,0.0010588570076834288,MO
US,28,Male,18-24,156232,6.155344591127852e-4,MO
US,28,Male,25-34,182509,7.190625390330745e-4,MO
US,28,Male,35-44,184834,7.282227470406352e-4,MO
US,28,Male,45-54,174482,6.874371671291219e-4,MO
US,28,Male,55-64,182054,7.17269896175681e-4,MO
US,28,Male,65+,205669,8.103100304116148e-4,MO
US,29,Female,18-24,277478,0.0010932284720524437,MS
US,29,Female,25-34,409462,0.0016132288564265913,MS
US,29,Female,35-44,370390,0.001459290083406629,MS
US,29,Female,45-54,383922,0.0015126044639478383,MS
